post_id,status,title,url,old_categories,old_tags,old_category_actions,suggested_new_primary_category,suggested_new_subcategory,suggested_new_category_path,action,notes,manual_review_reasons
23300,publish,$LIBRA Token Scandal Expands as Milei Probed,https://coinlineup.com/libra-token-scandal-expands-as-milei-probed/,Regulation,tecnology,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
23479,publish,Banks Risk Another 2008 Crisis After Moving 18 Million BTC Worth of Assets Into Shadow Lenders,https://coinlineup.com/banks-shadow-lenders-18-million-btc-2008-crisis-risk/,bank,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
23981,publish,"Binance Leads Crypto Onchain Holdings With $136B, Ahead of Coinbase and Satoshi",https://coinlineup.com/binance-leads-crypto-onchain-holdings-136b-coinbase-satoshi/,exchanges,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
14512,publish,Binance's CZ Advocates for Banks to Adopt BNB,https://coinlineup.com/binance-cz-urges-bank-integration-bnb/,bank,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
11129,publish,Blockchain and TradFi Convergence Gains Momentum,https://coinlineup.com/blockchain-tradfi-convergence-gains-momentum/,bank,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
23911,publish,Blockchain Futurist Conference Returns to Toronto for Its Ninth Year,https://coinlineup.com/blockchain-futurist-conference-returns-to-toronto-for-its-ninth-year/,Blockchain Event,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
15859,publish,Central Banks Revisit Gold Standard Amid Inflation Concerns,https://coinlineup.com/central-banks-gold-standard-reserves/,bank,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
15203,publish,Chainlink and SWIFT Enable Blockchain Access for Banks,https://coinlineup.com/chainlink-swift-blockchain-access-banks/,bank,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
23655,publish,Citadel-Backed EDXM to Launch Korean Won/USD Derivatives With Stablecoin Trading,https://coinlineup.com/edxm-korean-won-usd-derivatives-stablecoin/,exchanges,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
23355,publish,CLARITY Act Faces Midterm Clock as Congress Races to Win Over Banks,https://coinlineup.com/clarity-act-crypto-congress-midterms-banks/,bank,,Reclassify,news,bitcoin,/news/bitcoin,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
