post_id,status,title,url,old_categories,old_tags,old_category_actions,suggested_new_primary_category,suggested_new_subcategory,suggested_new_category_path,action,notes
12139,draft,"$1 DOGE Price Prediction, XRP Price Rise & BlockDAG’s 600% Bonus In Focus",https://theccpress.com/?p=12139,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
10328,draft,$TICS Presale Surge Puts Qubetics with Litecoin and Arweave Among Top Cryptos to Join for Long Term Value,https://theccpress.com/?p=10328,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9999,draft,100% Bonus Ends March 30: Is BTFD Coin at $0.0002 the Next Crypto to Explode? SNEK Game and Simon’s CAT IP Move Fuel the Hype,https://theccpress.com/?p=9999,CMC | Sponsored Articles,100% token bonus | 2900% ROI crypto | BTFD Coin bonus | btfd p2e game | CAT IP news | crypto investment 2025 | crypto referral program | meme coin presale | next crypto to explode | SNEK game launch,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
12118,draft,1M Mining on BlockDAG X1 | PEPE Price & BGB Updates,https://theccpress.com/?p=12118,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
12120,draft,"2,380% ROI & $214M Raised: BlockDAG Presale Leaves Pi Coin & MANTRA Scrambling",https://theccpress.com/?p=12120,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
29745,draft,2025 Altcoin Power Rankings — MAGACOIN FINANCE Challenges Bitcoin & Cardano for Top Spot,https://theccpress.com/?p=29745,CMC | Crypto News,,Keep | Reclassify by narrative angle,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
29975,draft,3 Best Altcoins to Buy Now — Portfolio Alert as Ethereum Eyes $5K and Cardano Extends Rally,https://theccpress.com/?p=29975,CMC | Crypto News,,Keep | Reclassify by narrative angle,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
29097,draft,3 Reasons Solana Could Be a Top Gainer in the Next Altcoin Rally,https://theccpress.com/?p=29097,CMC | Crypto News,,Keep | Reclassify by narrative angle,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
29843,draft,3 Reasons Solana Could Be the Best Crypto to Buy in 2025,https://theccpress.com/?p=29843,CMC | Crypto News,,Keep | Reclassify by narrative angle,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9807,draft,3 Top Meme Coins in March 2025: Unveil the Secret Coins That Could Skyrocket Your Portfolio,https://theccpress.com/?p=9807,CMC | Sponsored Articles,Act I: The AI Prophecy meme coin | Arctic Pablo Coin presale | Best meme coins 2025 | Cryptocurrency presale opportunity | Meme coins with AI | ROI potential meme coins | SPX6900 meme coin | Top meme coins in March 2025 | Unique meme coin presale,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
10650,draft,3 Top Meme Coins to Buy Now: Dragoin’s $0.0000292 Public Sale Leads the Charge,https://theccpress.com/?p=10650,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11802,draft,"4 Best Altcoins to Buy Now: BlockDAG, Uniswap & More",https://theccpress.com/?p=11802,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9874,draft,"4 Best Long Term Cryptos to Buy Now: BDAG, SOL, ADAD & AVAX",https://theccpress.com/?p=9874,CMC | Sponsored Articles,Avalanche | BlockDAG | Cardano | Solana,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11780,draft,"4 Top Altcoins to Invest In: BlockDAG Leads, BTC, XRP, and TRX Follow",https://theccpress.com/?p=11780,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11804,draft,4 Top Crypto Gems to Buy Now for Huge 2]Gains,https://theccpress.com/?p=11804,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11789,draft,"4 Top Rated Crypto Currencies: BlockDAG, Uniswap, Filecoin, & Mantra",https://theccpress.com/?p=11789,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9990,draft,"4 Top Trending Cryptos to Consider Now: BDAG, VET, HBAR & ATOM— Huge Gains Ahead!",https://theccpress.com/?p=9990,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11897,draft,5 Best Altcoins to Buy Now in 2025 for 50x Returns – Web3AI Leads the List,https://theccpress.com/?p=11897,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
29973,draft,"5 Best Cryptos to Buy This Week — Solana, MAGACOIN and Near Protocol Lead Breakout Watchlist",https://theccpress.com/?p=29973,CMC | Crypto News,,Keep | Reclassify by narrative angle,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9579,draft,"5 Must-Watch Meme Coins: Gigachad, Pudgy Penguins, and This Upcoming Meme Coin Presale Might Be 2025’s Biggest Hit",https://theccpress.com/?p=9579,CMC | Sponsored Articles,best meme coin presale 2025 | deflationary meme coin launch | early access meme coin | meme coins to buy early | play-to-earn meme token | trending meme crypto projects | Troller Cat crypto whitelist | upcoming meme coin presale | viral crypto presale 2025 | whitelist crypto meme token,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
10015,draft,504M+ Tokens Gone in Qubetics Presale – The Best Crypto Presale to Buy for 2025 as Bitcoin and Cosmos Explode,https://theccpress.com/?p=10015,CMC | Sponsored Articles,Best crypto presale to buy for 2025 | Bitcoin investment | Bitcoin store of value | Blockchain interoperability | Blockchain scalability solutions | Cosmos blockchain scalability | Cryptocurrency presale opportunities | Non-custodial multi-chain wallet | Qubetics presale | Top presale coins 2025,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11439,draft,A Smart Buyer’s Guide to the Best Long-Term Cryptos,https://theccpress.com/?p=11439,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11433,draft,"AAVE Action Escalates, SOL Tumbles & BDAG Rakes in $5M After Keynote",https://theccpress.com/?p=11433,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11198,draft,ADA & BNB Market Shifts; BlockDAG’s Beta Testnet Debuts,https://theccpress.com/?p=11198,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
33630,draft,ADA Price Prediction: Can Cardano Reach $3 in October 2025?,https://theccpress.com/?p=33630,CMC | Crypto News,,Keep | Reclassify by narrative angle,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
11374,draft,Aptos Left Investors Frustrated — But Qubetics Might Just Be One of the Top Altcoins for Massive Return Potential,https://theccpress.com/?p=11374,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9650,draft,Aptos Left You Watching from the Sidelines? Qubetics Might Be One of the Best Cryptos to Buy This Month,https://theccpress.com/?p=9650,CMC | Sponsored Articles,$TICS presale ROI | best crypto to buy this month | Qubetics vs Aptos missed ICO opportunity,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
10443,draft,Arctic Pablo Coin is the Best crypto to join in April 2025 Amidst Binance Coin and TRUMP Meme Coin Developments,https://theccpress.com/?p=10443,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9899,draft,"Arctic Pablo Coin Presale, Popcat, and Shiba Inu Updates",https://theccpress.com/?p=9899,CMC | Sponsored Articles,Arctic Pablo | Popcat | SHIB | Shiba Inu,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
10069,draft,"Arctic Pablo Coin Presale, TST Update & Neiro News | Best New Meme Coins to Join Now",https://theccpress.com/?p=10069,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
10065,draft,Arctic Pablo Coin Presale: A Prime Opportunity in Top Meme Coins to Invest,https://theccpress.com/?p=10065,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
10243,draft,Arctic Pablo Coin Shines in the Best New Meme Coins for Massive Return Potential alongside Neiro Coin and Dogecoin!,https://theccpress.com/?p=10243,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9559,draft,Arctic Pablo Coin’s Explosive 9552% ROI Grabs Attention — Best New Meme Coins to Join Now Alongside Broccoli and TST Innovations,https://theccpress.com/?p=9559,CMC | Sponsored Articles,Arctic Pablo Coin community competitions | Arctic Pablo Coin Crystal Cove | Arctic Pablo Coin presale | Arctic Pablo Coin referral program | Best New Meme Coins to Join Now | Broccoli eco-friendly crypto | high APY staking meme coin | meme coin presale | top meme coin investments | TST payment integration,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
9714,draft,Arctic Pablo’s 66% APY and Token Burn Strategy Spark Interest as Act I: The AI Prophecy and Pepe Coin Stir the Market,https://theccpress.com/?p=9714,CMC | Sponsored Articles,Act I: The AI Prophecy | Arctic Pablo Coin | Arctic Pablo Coin presale | Arctic Pablo presale | Best New Meme Coins to Buy This Week | community competitions | crypto investments | Crystal Cove | meme coin news | meme coin presale | Pepe Coin | referral incentives | ROI potential | staking rewards | token burn mechanism,Keep,cmc,,/cmc,Keep,Kept as separate commercial/distribution category
