post_id,status,title,url,old_categories,old_tags,old_category_actions,suggested_new_primary_category,suggested_new_subcategory,suggested_new_category_path,action,notes,manual_review_reasons
1911,publish,Roblox Embraces Cryptocurrency: XRP Integration for In-Game Transactions,https://tokentopnews.com/roblox-embraces-cryptocurrency-xrp-integration/,Cryptocurrency News,Ripple (XRP) | Roblox,Reclassify,insights,,insights,Reclassify,Asset-tag fallback into broad insights,fallback-rule
28834,publish,KAT Listed on Coinbase Spot: Price Reacts as Exchange Adds Altcoin,https://tokentopnews.com/kat-listed-coinbase-spot/,Altcoins,,Reclassify,narratives,altcoin-season,narratives/altcoin-season,Reclassify,Old Altcoins category fallback,fallback-rule
1457,publish,Bitpanda receives the coveted Bafin license,https://tokentopnews.com/bitpanda-receives-the-coveted-bafin-license/,Cryptocurrency News,Bafin | Bitcoin (BTC) | Bitpanda | Coinbase | Cryptocurrencies | FTX,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
626,publish,Brevan Howard Is Launching a New Business Unit Focused on Crypto,https://tokentopnews.com/brevan-howard-is-launching-a-new-business-unit-focused-on-crypto/,Cryptocurrency News,Bitcoin (BTC) | Brevan Howard | Cryptocurrencies | cryptocurrency | Ethereum (ETH),Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
281,publish,Coca-Cola to Launch First-Ever NFT Collectibles to Honor International Friendship Day,https://tokentopnews.com/coca-cola-to-launch-first-ever-nft-collectibles-to-honor-international-friendship-day/,Cryptocurrency News,Bitcoin (BTC) | blockchain | Coca-Cola | Cryptocurrencies | Ethereum | NFT | token,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
222,publish,Crypto ATM Operator Bitcoin Depot to Place Thousands of ATMs in Circle K,https://tokentopnews.com/crypto-atm-operator-bitcoin-depot-to-place-thousands-of-atms-in-circle-k/,Cryptocurrency News,ATM | Bitcoin (BTC) | Canada | Circle K | Cryptocurrencies | cryptocurrency | Ethereum,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
401,publish,"Ex-AFL star Jason Akermanis launches Zucoin, says it is a “Bitcoin killer”.",https://tokentopnews.com/ex-afl-star-jason-akermanis-launches-zucoin-says-it-is-a-bitcoin-killer/,Cryptocurrency News,AUSTRALIA | Bitcoin (BTC) | blockchain | cryptocurrency | Ethereum | Jason Akermanis | token | Zucoin,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
562,publish,"Genesis Digital Assets Purchases 20,000 Bitcoin Mining Machines from China’s Manufacturer Canaan",https://tokentopnews.com/genesis-digital-assets-purchases-20000-bitcoin-mining-machines-from-chinas-manufacturer-canaan/,Cryptocurrency News,Bitcoin (BTC) | Bitcoin Mining | Canaan | Genesis Digital Assets,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
293,publish,Genesis Digital Assets Raises $125M to Expand Bitcoin Mining Business,https://tokentopnews.com/genesis-digital-assets-raises-125m-to-expand-bitcoin-mining-business/,Cryptocurrency News,Bitcoin Mining | cryptocurrency | Genesis Capital,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
32,publish,JBS Paid Hackers $11 Million Worth of Bitcoin to Set Free From Hacker Attack,https://tokentopnews.com/jbs-paid-hackers-11-million-worth-of-bitcoin-to-set-free-from-hacker-attack/,Cryptocurrency News,Bitcoin (BTC) | Hacker Attack | JBS,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
