post_id,status,title,url,old_categories,old_tags,old_category_actions,suggested_new_primary_category,suggested_new_subcategory,suggested_new_category_path,action,notes
20992,draft,$BZIL Dominates the Top New Meme Coins to Buy in October 2025,https://tokentopnews.com/?p=20992,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
16095,draft,"2025’s Best Crypto Picks — MAGACOIN FINANCE, Avalanche and Cardano Tipped for 18,000% Returns",https://tokentopnews.com/?p=16095,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
15970,draft,"3 Best Altcoins With Bullish Momentum — HBAR, NEAR & Stellar (XLM) Catch Analyst Attention",https://tokentopnews.com/?p=15970,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
14217,draft,3 Hot Tokens Grok Just Flagged—Is One the Best Crypto Presale to Buy in August?,https://tokentopnews.com/?p=14217,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
15627,draft,4 Best Altcoins to Buy Before September 2025 — XRP Price Rebounds as MAGACOIN FINANCE Tops Analyst Picks,https://tokentopnews.com/?p=15627,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
3113,draft,5 Best Altcoins to Buy Now in 2025 for 50x Returns – Web3AI Leads the List,https://tokentopnews.com/?p=3113,CMC,,Keep,cmc,,/cmc,Keep,Kept from old CMC category
15813,draft,"After Trump’s $205M Stablecoin Reveal, XRP, SHIB & MAGACOIN Finance Top Altcoin Buy Lists",https://tokentopnews.com/?p=15813,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
23984,draft,Apeing Rises in New Meme Coins While $PEPE and $BONK Build,https://tokentopnews.com/?p=23984,CMC | Sponsored Articles,,Keep,cmc,,/cmc,Keep,Kept from old CMC category
15701,draft,"Best Altcoins to Buy Before XRP ETF Approval — Ethereum, Solana and Polkadot Poised for Breakout",https://tokentopnews.com/?p=15701,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
16685,draft,"Best Altcoins to Buy With ROI Growth Potential — Cardano, Dogecoin and SUI Lead Retail Accumulation",https://tokentopnews.com/?p=16685,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
14700,draft,Best Altcoins to Include in Your Portfolio in August 2025,https://tokentopnews.com/?p=14700,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
16847,draft,"Best Altcoins Under $1: ADA, XLM, and a Breakout Coin Flagged as High-Upside Opportunities",https://tokentopnews.com/?p=16847,CMC | Cryptocurrency News,,Keep | Reclassify,cmc,,/cmc,Keep,Kept from old CMC category
